                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92226,                0.89211,                0.99287,                0.81376,                0.78478,                0.79144,                0.61843,                 0.9078,                 1.0311,                  1.112,             0.00024747,             0.00024747,             0.00024747
                     36,                0.92485,                0.88172,                0.99105,                 0.8182,                 0.7752,                0.77114,                0.60285,                0.90657,                 1.0309,                 1.0874,             0.00023334,             0.00023334,             0.00023334
                     37,                0.89508,                0.86922,                0.98717,                0.83622,                0.76898,                 0.7858,                0.62187,                0.88717,                 1.0546,                 1.0915,              0.0002192,              0.0002192,              0.0002192
                     38,                0.89325,                0.86684,                0.98509,                0.80798,                0.79514,                0.78022,                0.61983,                0.86633,                 1.0482,                  1.085,             0.00020506,             0.00020506,             0.00020506
                     39,                0.86643,                0.82288,                0.97398,                0.82139,                 0.7681,                0.77017,                0.61452,                0.84949,                 1.0651,                 1.0781,             0.00019092,             0.00019092,             0.00019092
                     40,                0.88292,                0.82746,                0.97978,                 0.8302,                0.78727,                 0.7928,                0.63783,                0.86452,                 1.0309,                 1.0816,             0.00017679,             0.00017679,             0.00017679
                     41,                 0.8086,                0.83413,                0.96596,                0.78929,                0.79533,                0.76996,                0.61157,                0.85196,                 1.1567,                 1.0745,             0.00016265,             0.00016265,             0.00016265
                     42,                0.77328,                0.76663,                0.95907,                0.83191,                0.79671,                0.78172,                0.62144,                0.86433,                0.99531,                 1.0713,             0.00014851,             0.00014851,             0.00014851
                     43,                0.76879,                0.74638,                0.95184,                 0.8244,                0.77883,                0.78245,                0.62985,                 0.8294,                0.99681,                 1.0575,             0.00013437,             0.00013437,             0.00013437
                     44,                0.76191,                0.74067,                0.96279,                0.84021,                0.79627,                0.78468,                0.63256,                0.84912,                 1.0066,                 1.0684,             0.00012024,             0.00012024,             0.00012024
                     45,                0.75233,                0.73072,                0.95715,                0.83503,                0.80663,                0.78954,                0.62935,                0.85733,                 1.0093,                 1.0741,              0.0001061,              0.0001061,              0.0001061
                     46,                0.75711,                0.70972,                0.96407,                 0.8321,                0.82568,                0.79041,                0.63526,                0.81874,                0.96416,                 1.0613,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.74478,                0.70437,                  0.955,                0.83205,                0.82139,                0.79002,                0.63917,                0.81968,                0.95654,                 1.0617,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.73539,                0.69203,                0.95399,                0.83353,                0.81872,                0.78344,                 0.6349,                0.81578,                0.96115,                 1.0633,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.72459,                0.68236,                0.95461,                0.82653,                0.83159,                0.78465,                 0.6356,                0.81361,                0.93161,                 1.0676,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 0.7136,                0.67056,                0.94314,                 0.8313,                0.82182,                0.78959,                0.63966,                0.80701,                0.93788,                 1.0643,             3.5414e-05,             3.5414e-05,             3.5414e-05
